perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,3,9,orange_juice,3,0,400,0.03926
noise,3,9,orange_juice,4,0,400,0.04348
noise,3,9,orange_juice,5,1,128,0.02132
noise,3,9,orange_juice,6,0,400,0.04113
noise,3,9,orange_juice,7,1,132,0.0299
noise,3,9,orange_juice,8,0,400,0.0414
noise,3,9,orange_juice,9,1,138,0.02681
noise,4,0,alphabet_soup,0,0,400,0.03662
noise,4,0,alphabet_soup,1,0,400,0.03823
noise,4,0,alphabet_soup,2,0,400,0.03711
noise,4,0,alphabet_soup,3,0,400,0.03992
noise,4,0,alphabet_soup,4,0,400,0.0344
noise,4,0,alphabet_soup,5,0,400,0.0361
noise,4,0,alphabet_soup,6,0,400,0.03805
noise,4,0,alphabet_soup,7,0,400,0.0379
noise,4,0,alphabet_soup,8,0,400,0.03777
noise,4,0,alphabet_soup,9,0,400,0.03216
noise,4,1,cream_cheese,0,0,400,0.04626
noise,4,1,cream_cheese,1,0,400,0.04665
noise,4,1,cream_cheese,2,0,400,0.04935
noise,4,1,cream_cheese,3,0,400,0.04814
noise,4,1,cream_cheese,4,0,400,0.04757
noise,4,1,cream_cheese,5,0,400,0.04962
noise,4,1,cream_cheese,6,0,400,0.04604
noise,4,1,cream_cheese,7,0,400,0.04883
noise,4,1,cream_cheese,8,0,400,0.04973
noise,4,1,cream_cheese,9,0,400,0.04947
noise,4,2,salad_dressing,0,0,400,0.03634
noise,4,2,salad_dressing,1,0,400,0.03501
noise,4,2,salad_dressing,2,0,400,0.03354
noise,4,2,salad_dressing,3,0,400,0.04078
noise,4,2,salad_dressing,4,0,400,0.04088
noise,4,2,salad_dressing,5,0,400,0.03257
noise,4,2,salad_dressing,6,0,400,0.03645
noise,4,2,salad_dressing,7,0,400,0.04023
noise,4,2,salad_dressing,8,0,400,0.03364
noise,4,2,salad_dressing,9,0,400,0.03318
noise,4,3,bbq_sauce,0,0,400,0.03199
noise,4,3,bbq_sauce,1,0,400,0.03088
noise,4,3,bbq_sauce,2,0,400,0.03203
noise,4,3,bbq_sauce,3,0,400,0.03127
noise,4,3,bbq_sauce,4,0,400,0.02918
noise,4,3,bbq_sauce,5,0,400,0.03249
noise,4,3,bbq_sauce,6,0,400,0.03493
noise,4,3,bbq_sauce,7,0,400,0.03259
noise,4,3,bbq_sauce,8,0,400,0.03218
noise,4,3,bbq_sauce,9,0,400,0.03208
noise,4,4,ketchup,0,0,400,0.03523
noise,4,4,ketchup,1,0,400,0.03714
noise,4,4,ketchup,2,0,400,0.03913
noise,4,4,ketchup,3,0,400,0.03933
noise,4,4,ketchup,4,0,400,0.03636
noise,4,4,ketchup,5,0,400,0.03302
noise,4,4,ketchup,6,0,400,0.03509
noise,4,4,ketchup,7,0,400,0.03516
noise,4,4,ketchup,8,0,400,0.03765
noise,4,4,ketchup,9,0,400,0.03005
noise,4,5,tomato_sauce,0,0,400,0.03233
noise,4,5,tomato_sauce,1,0,400,0.03154
noise,4,5,tomato_sauce,2,0,400,0.03297
noise,4,5,tomato_sauce,3,0,400,0.0324
noise,4,5,tomato_sauce,4,0,400,0.03392
noise,4,5,tomato_sauce,5,0,400,0.03225
noise,4,5,tomato_sauce,6,0,400,0.03278
noise,4,5,tomato_sauce,7,0,400,0.03655
noise,4,5,tomato_sauce,8,0,400,0.03583
noise,4,5,tomato_sauce,9,0,400,0.03287
